video_id,hook_motion,hook_shake,content_motion,content_shake,max_peak_motion
VIDEO_6739804771013774597,0.0688,0.003527,0.131,0.023952,0.2621
VIDEO_6750983141873224966,0.421,0.089745,0.33399999141693115,0.04358699917793274,0.48820000886917114
VIDEO_6764678537346616582,0.7323,0.213425,0.0,0.0,0.8863000273704529
VIDEO_6768860777525824773,0.0989,0.005315,0.0,0.0,0.12439999729394913
VIDEO_6792131260543225094,0.1814,0.012394,0.0,0.0,0.2612999975681305
VIDEO_6792133610360065285,0.9788,0.258834,1.1377999782562256,2.0718181133270264,1.50600004196167
VIDEO_6793347939294072069,0.4321,0.076921,0.0,0.0,0.5541999936103821
VIDEO_6793765694619143430,2.6605,2.124112,1.715499997138977,1.4453150033950806,3.537400007247925
VIDEO_6794470373212589317,0.7457,0.298889,0.0,0.0,0.9700000286102295
VIDEO_6795606002222796037,0.6508,0.163724,0.0,0.0,0.9965000152587891
