video_id,num_cuts,avg_motion,camera_shake
VIDEO_7490984274049469718,0,1.493499994277954,1.3963290452957153
VIDEO_7229679892399426842,5,7.5055999755859375,25.582012176513672
VIDEO_7414059508630031648,6,0.15710000693798065,0.03688599914312363
VIDEO_7086144769222511877,5,0.05570000037550926,0.0012939999578520656
VIDEO_7065769954695564550,2,0.3831999897956848,0.048941001296043396
VIDEO_7533680078866238742,7,4.599100112915039,21.46112060546875
VIDEO_7249677053153283354,5,0.05959999933838844,0.0023719999007880688
VIDEO_7204395621468392709,3,0.5045999884605408,0.5578740239143372
VIDEO_7044982077288189190,0,0.21950000524520874,0.26628899574279785
VIDEO_7335847049495203104,12,0.09969999641180038,0.013023000210523605
VIDEO_7324696131143847201,2,0.2630000114440918,0.0376800000667572
VIDEO_7429021024517229857,2,4.608699798583984,46.0041389465332
VIDEO_7270891504346942753,0,0.15309999883174896,0.022910000756382942
VIDEO_7241956873698577691,5,0.0012000000569969416,9.999999974752427e-07
VIDEO_7137955446320565510,7,0.43529999256134033,0.10256499797105789
VIDEO_7072437259127098630,4,0.826200008392334,0.22333699464797974
VIDEO_7587402623129636118,2,0.27630001306533813,0.12023700028657913
VIDEO_7163552631053503749,0,0.28519999980926514,0.11883799731731415
VIDEO_6875699019520298242,9,3.160799980163574,5.141020774841309
VIDEO_7040105390410960133,5,3.593400001525879,9.63675308227539
VIDEO_7055610539749199109,14,0.13660000264644623,0.005365000106394291
VIDEO_7327632037437820193,0,1.9888999462127686,2.5356318950653076
VIDEO_7480918194438278422,3,0.19910000264644623,0.015292000025510788
VIDEO_7436892906801073441,2,1.3310999870300293,0.7308459877967834
VIDEO_7509512878026788118,7,0.4438000023365021,0.15403999388217926
VIDEO_7263733416292617505,0,0.9369000196456909,0.6618710160255432
VIDEO_7226711933150432538,2,0.0,0.0
VIDEO_7575167976853228822,4,0.025200000032782555,0.0002699999895412475
VIDEO_7582254546236230934,3,0.04019999876618385,0.007025999948382378
VIDEO_7493955664008498454,2,0.1080000028014183,0.003986999858170748
VIDEO_7187436390131453190,5,0.22390000522136688,0.030327999964356422
VIDEO_7291678102948810016,5,0.1290999948978424,0.010855999775230885
VIDEO_7036807584111709445,6,1.514299988746643,0.9289630055427551
VIDEO_7557004748973559043,4,0.11760000139474869,0.00885200034826994
VIDEO_7200112331873897733,3,0.09740000218153,0.0039090001955628395
VIDEO_7547744113433627926,0,0.22939999401569366,0.03275199979543686
VIDEO_7415589341981986080,3,0.44429999589920044,0.4583260118961334
VIDEO_7183681305203330309,7,0.08789999783039093,0.02065799944102764
VIDEO_7423318018853178657,0,0.09470000118017197,0.004964999854564667
VIDEO_7581822570454879510,0,0.09929999709129333,0.004542999900877476
VIDEO_7377004580510436641,5,0.2854999899864197,0.048902999609708786
VIDEO_7334752917439712545,0,0.3928999900817871,0.043588001281023026
VIDEO_7363657122795490593,7,0.02979999966919422,0.0024139999877661467
VIDEO_6937251547290045701,2,0.4903999865055084,0.11745599657297134
VIDEO_7338052242651598112,6,7.580399990081787,51.2292366027832
VIDEO_7345477638619778309,5,1.5728000402450562,1.2920700311660767
