iter	Passed	Remaining
199	206	824
200	208	826
201	210	832
202	212	834
203	214	835
204	214	832
205	216	835
206	218	838
207	219	835
208	222	840
209	224	846
210	226	845
211	228	850
212	230	850
213	231	851
214	233	851
215	234	852
216	236	853
217	237	851
218	239	853
219	240	854
220	241	851
221	243	853
222	244	850
223	246	852
224	246	849
225	248	852
226	249	849
227	249	846
228	254	857
229	255	854
230	255	851
231	258	854
232	258	851
233	260	853
234	261	850
235	263	851
236	263	849
237	265	850
238	266	847
239	268	850
240	269	848
241	270	845
242	272	850
243	273	847
244	275	849
245	276	846
246	277	846
247	279	847
248	280	844
249	281	845
250	284	847
251	286	849
252	287	849
253	289	848
254	290	848
255	291	847
256	292	845
257	295	849
258	296	849
259	298	848
260	302	855
261	304	858
262	305	856
263	306	853
264	306	851
265	307	848
266	308	846
267	308	843
268	309	840
269	310	838
270	310	835
271	311	834
272	312	831
273	312	829
274	313	826
275	316	829
276	317	827
277	318	826
278	318	824
279	319	821
280	320	820
281	322	820
282	322	818
283	323	815
284	324	813
285	324	810
286	325	808
287	325	805
288	326	803
289	327	800
290	327	798
291	328	796
292	333	805
293	334	803
294	335	801
295	335	798
296	337	797
297	338	796
298	338	794
299	339	792
300	340	791
301	341	790
302	343	789
303	344	787
304	345	786
305	347	787
306	347	785
307	352	791
308	353	790
309	354	788
310	354	785
311	355	784
312	358	786
313	359	785
314	360	783
315	361	781
316	362	781
317	363	779
318	364	778
319	366	778
320	367	776
321	367	774
322	368	773
323	369	771
324	370	770
325	371	768
326	372	766
327	373	764
328	373	762
329	376	764
330	377	763
331	378	761
332	379	759
333	379	757
334	380	755
335	381	753
336	382	751
337	382	749
338	383	747
339	383	745
340	384	743
341	387	745
342	388	744
343	389	742
344	391	742
345	392	741
346	393	740
347	394	739
348	395	737
349	396	735
350	396	733
351	397	731
352	398	729
353	398	727
354	399	725
355	400	723
356	400	722
357	401	720
358	402	718
359	403	716
360	404	715
361	405	714
362	405	712
363	409	714
364	410	714
365	411	713
366	412	711
367	413	710
368	415	710
369	416	708
370	417	707
371	418	705
372	418	704
373	422	707
374	423	706
375	424	704
376	425	702
377	425	700
378	426	698
379	428	698
380	429	697
381	430	697
382	431	695
383	432	694
384	433	692
385	434	691
386	435	689
387	436	689
388	438	688
389	439	686
390	439	685
391	440	683
392	441	681
393	441	679
394	442	677
395	443	675
396	443	674
397	447	677
398	449	677
399	450	675
400	452	675
401	453	674
402	453	672
403	454	670
404	459	674
405	460	674
406	461	672
407	462	671
408	463	669
409	465	669
410	467	669
411	467	667
412	468	665
413	469	663
414	469	662
415	470	660
416	470	658
417	471	656
418	472	654
419	474	655
420	478	657
421	479	656
422	479	654
423	480	652
424	480	650
425	481	648
426	482	647
427	482	645
428	483	643
429	484	641
430	484	639
431	485	637
432	485	636
433	486	634
434	487	632
435	488	631
436	489	630
437	491	630
438	491	628
439	494	629
440	495	628
441	496	626
442	497	624
443	497	623
444	498	621
445	499	619
446	499	618
447	501	617
448	501	616
449	503	615
450	504	613
451	505	612
452	506	611
453	507	609
454	507	608
455	508	606
456	509	604
457	509	603
458	511	603
459	513	603
460	514	601
461	515	599
462	515	598
463	516	596
464	517	595
465	520	596
466	521	595
467	522	593
468	524	594
469	526	593
470	527	591
471	529	592
472	531	591
473	531	590
474	532	588
475	534	588
476	535	587
477	536	586
478	538	585
479	539	584
480	539	582
481	540	580
482	541	579
483	542	578
484	543	577
485	544	575
486	545	574
487	545	572
488	546	571
489	547	569
490	547	568
491	548	566
492	551	566
493	551	565
494	552	563
495	553	561
496	553	560
497	554	558
498	554	557
499	555	555
500	556	554
501	557	552
502	557	551
503	558	549
504	559	548
505	559	546
506	560	544
507	561	543
508	561	541
509	562	540
510	563	538
511	565	538
512	566	537
513	566	536
514	567	534
515	568	532
516	568	531
517	570	530
518	571	529
519	572	528
520	573	526
521	574	526
522	575	524
523	575	522
524	576	521
525	576	519
526	577	518
527	578	516
528	580	516
529	581	515
530	582	514
531	582	512
532	584	512
533	585	510
534	586	509
535	587	508
536	588	507
537	588	505
538	589	504
539	590	502
540	590	501
541	591	499
542	592	498
543	595	499
544	596	497
545	597	496
546	598	495
547	598	493
548	599	492
549	599	490
550	601	490
551	602	489
552	603	487
553	604	486
554	604	484
555	605	483
556	605	481
557	606	480
558	607	479
559	607	477
560	608	476
561	609	474
562	611	474
563	612	473
564	613	472
565	613	470
566	614	469
567	615	467
568	615	466
569	616	464
570	616	463
571	617	462
572	618	460
573	618	459
574	619	457
575	620	456
576	620	454
577	622	454
578	623	453
579	624	452
580	628	452
581	630	452
582	632	452
583	633	451
584	633	449
585	634	448
586	635	446
587	635	445
588	637	444
589	638	443
590	638	442
591	639	440
592	641	440
593	642	439
594	643	437
595	643	436
596	644	435
597	645	433
598	645	432
599	646	430
600	647	429
601	647	428
602	648	426
603	649	425
604	649	424
605	650	422
606	652	422
607	652	420
608	653	419
609	654	418
610	654	416
611	655	415
612	656	414
613	658	413
614	658	412
615	659	411
616	660	409
617	660	408
618	661	407
619	661	405
620	662	404
621	663	403
622	663	401
623	664	400
624	666	399
625	667	398
626	668	397
627	668	396
628	669	394
629	670	393
630	671	392
631	672	391
632	673	390
633	673	388
634	674	387
635	674	386
636	676	385
637	677	384
638	678	383
639	682	383
640	684	383
641	686	382
642	687	381
643	688	380
644	689	379
645	689	378
646	692	377
647	694	377
648	699	378
649	700	377
650	701	376
651	702	374
652	704	374
653	705	373
654	708	372
655	719	377
656	720	376
657	721	375
658	722	373
659	723	372
660	724	371
661	725	370
662	725	368
663	738	373
664	739	372
665	739	371
666	740	369
667	741	368
668	741	367
669	745	367
670	746	366
671	747	364
672	748	363
673	752	363
674	753	362
675	754	361
676	754	360
677	755	358
678	756	357
679	756	356
680	757	354
681	758	353
682	758	352
683	759	350
684	760	349
685	760	348
686	761	346
687	762	345
688	762	344
689	765	343
690	765	342
691	766	341
692	767	340
693	768	338
694	769	337
695	769	336
696	770	334
697	771	333
698	772	332
699	772	331
700	773	329
701	774	328
702	775	327
703	776	326
704	777	325
705	778	324
706	779	322
707	779	321
708	780	320
709	781	319
710	782	318
711	783	316
712	784	315
713	785	314
714	785	313
715	786	311
716	786	310
717	788	309
718	789	308
719	791	307
720	793	306
721	793	305
722	794	304
723	795	303
724	795	301
725	796	300
726	797	299
727	797	298
728	798	296
729	799	295
730	800	294
731	800	293
732	801	291
733	802	290
734	802	289
735	803	288
736	803	286
737	805	285
738	809	285
739	810	284
740	811	283
741	812	282
742	812	281
743	813	279
744	814	278
745	814	277
746	815	276
747	816	274
748	817	273
749	817	272
750	820	271
751	821	270
752	822	269
753	823	268
754	823	267
755	824	266
756	825	264
757	826	263
758	827	262
759	827	261
760	828	260
761	828	258
762	829	257
763	830	256
764	830	255
765	831	253
766	834	253
767	835	252
768	835	251
769	839	250
770	842	250
771	843	248
772	843	247
773	844	246
774	846	245
775	846	244
776	847	243
777	852	243
778	853	242
779	855	241
780	855	240
781	857	238
782	858	237
783	858	236
784	860	235
785	861	234
786	866	234
787	868	233
788	869	232
789	870	231
790	871	230
791	872	229
792	873	227
793	874	226
794	875	225
795	876	224
796	878	223
797	881	223
798	882	222
799	883	220
800	884	219
801	885	218
802	886	217
803	888	216
804	889	215
805	891	214
806	891	213
807	895	212
808	899	212
809	900	211
810	901	210
811	902	208
812	904	207
813	905	206
814	906	205
815	906	204
816	909	203
817	910	202
818	911	201
819	912	200
820	913	199
821	916	198
822	919	197
823	920	196
824	922	195
825	924	194
826	927	194
827	929	193
828	930	192
829	932	191
830	933	189
831	935	188
832	940	188
833	943	187
834	944	186
835	946	185
836	948	184
837	949	183
838	951	182
839	952	181
840	954	180
841	956	179
842	958	178
843	959	177
844	961	176
845	962	175
846	964	174
847	965	173
848	967	172
849	968	170
850	970	169
851	971	168
852	974	168
853	976	166
854	978	165
855	979	164
856	981	163
857	981	162
858	985	161
859	986	160
860	987	159
861	988	158
862	991	157
863	993	156
864	993	155
865	996	154
866	997	152
867	998	151
868	999	150
869	1001	149
870	1002	148
871	1005	147
872	1007	146
873	1008	145
874	1009	144
875	1010	143
876	1014	142
877	1016	141
878	1018	140
879	1019	139
880	1021	137
881	1022	136
882	1024	135
883	1026	134
884	1027	133
885	1031	132
886	1033	131
887	1036	130
888	1037	129
889	1038	128
890	1038	127
891	1039	125
892	1040	124
893	1043	123
894	1043	122
895	1046	121
896	1047	120
897	1049	119
898	1052	118
899	1053	117
900	1053	115
901	1054	114
902	1055	113
903	1056	112
904	1057	110
905	1057	109
906	1058	108
907	1059	107
908	1059	106
909	1065	105
910	1066	104
911	1070	103
912	1071	102
913	1073	101
914	1074	99
915	1074	98
916	1075	97
917	1076	96
918	1076	94
919	1078	93
920	1080	92
921	1081	91
922	1082	90
923	1082	89
924	1083	87
925	1084	86
926	1084	85
927	1085	84
928	1085	82
929	1086	81
930	1087	80
931	1087	79
932	1088	78
933	1093	77
934	1094	76
935	1095	74
936	1096	73
937	1097	72
938	1098	71
939	1099	70
940	1100	68
941	1100	67
942	1101	66
943	1102	65
944	1102	64
945	1103	62
946	1104	61
947	1104	60
948	1106	59
949	1108	58
950	1109	57
951	1109	55
952	1111	54
953	1111	53
954	1112	52
955	1112	51
956	1113	50
957	1115	48
958	1116	47
959	1117	46
960	1117	45
961	1119	44
962	1120	43
963	1121	41
964	1125	40
965	1126	39
966	1127	38
967	1127	37
968	1128	36
969	1129	34
970	1129	33
971	1130	32
972	1131	31
973	1131	30
974	1132	29
975	1133	27
976	1134	26
977	1134	25
978	1135	24
979	1136	23
980	1137	22
981	1138	20
982	1140	19
983	1141	18
984	1142	17
985	1143	16
986	1144	15
987	1144	13
988	1146	12
989	1147	11
990	1148	10
991	1149	9
992	1149	8
993	1153	6
994	1154	5
995	1155	4
996	1156	3
997	1157	2
998	1158	1
999	1159	0
