iter	RMSE
0	1.645348455
1	1.637676507
2	1.629828412
3	1.621334144
4	1.614701791
5	1.608128644
6	1.600659248
7	1.594687403
8	1.585585848
9	1.578655889
10	1.571137155
11	1.564871864
12	1.558065123
13	1.550742582
14	1.545437151
15	1.539569741
16	1.533170533
17	1.527020448
18	1.521503915
19	1.516898825
20	1.511905205
21	1.506349628
22	1.500848556
23	1.495089063
24	1.488999005
25	1.483662464
26	1.478835295
27	1.474764157
28	1.469337879
29	1.465455861
30	1.460048052
31	1.456111515
32	1.45246985
33	1.44758172
34	1.442883751
35	1.439610009
36	1.435440295
37	1.431280725
38	1.427684882
39	1.423488382
40	1.418869133
41	1.415022049
42	1.410996065
43	1.407802516
44	1.404214798
45	1.400196528
46	1.395895003
47	1.392391706
48	1.388856766
49	1.384724803
50	1.381479139
51	1.378587567
52	1.375033707
53	1.371479869
54	1.367864043
55	1.363747422
56	1.359506814
57	1.355872852
58	1.352918282
59	1.349614113
60	1.346146676
61	1.343005365
62	1.339913348
63	1.336380849
64	1.333410304
65	1.329737995
66	1.327027381
67	1.323548476
68	1.321402557
69	1.318879692
70	1.316285383
71	1.313427784
72	1.311388217
73	1.308226445
74	1.305920551
75	1.302942408
76	1.300914964
77	1.298658752
78	1.296825522
79	1.293995368
80	1.291288708
81	1.288669547
82	1.28639509
83	1.283196363
84	1.281123875
85	1.278302419
86	1.276133306
87	1.273406954
88	1.27101072
89	1.268301203
90	1.265626665
91	1.262849311
92	1.26012983
93	1.257650781
94	1.255894485
95	1.253511472
96	1.25150175
97	1.249316136
98	1.247421256
99	1.245511043
100	1.243633236
101	1.241762976
102	1.240108545
103	1.237895936
104	1.236082972
105	1.233461181
106	1.231361628
107	1.228874373
108	1.227036659
109	1.225311165
110	1.223732127
111	1.2214714
112	1.219663437
113	1.217716778
114	1.216222195
115	1.214347157
116	1.212638441
117	1.210566161
118	1.209100274
119	1.207281806
120	1.20489498
121	1.203148724
122	1.201449242
123	1.19952679
124	1.198306553
125	1.196897763
126	1.195347868
127	1.193832214
128	1.192405093
129	1.191122243
130	1.189780027
131	1.188339058
132	1.186838689
133	1.185805875
134	1.183929532
135	1.182239415
136	1.181021582
137	1.179708068
138	1.178460228
139	1.176842043
140	1.175919987
141	1.1745938
142	1.173071507
143	1.171790655
144	1.170081352
145	1.168272841
146	1.166453817
147	1.165006332
148	1.16314949
149	1.162274956
150	1.160677248
151	1.158904113
152	1.15694135
153	1.155359008
154	1.153709716
155	1.152417679
156	1.151058338
157	1.149926263
158	1.148941673
159	1.147754387
160	1.146701861
161	1.145189167
162	1.143950318
163	1.142842209
164	1.141704524
165	1.140374337
166	1.139455693
167	1.138341201
168	1.136938434
169	1.136598014
170	1.13571796
171	1.134677491
172	1.133152814
173	1.131461154
174	1.129893272
175	1.128677225
176	1.127652368
177	1.126203655
178	1.124755338
179	1.123637803
180	1.122588816
181	1.121861671
182	1.120089582
183	1.119370055
184	1.118492175
185	1.117550758
186	1.116197986
187	1.114905393
188	1.113462446
189	1.112597585
190	1.11149116
191	1.110327878
192	1.108936726
193	1.107514416
194	1.105758383
195	1.105293697
196	1.103934131
197	1.102488663
198	1.100819093
199	1.09955239
200	1.09869944
201	1.097683834
202	1.09655261
203	1.095821199
204	1.094888354
205	1.093744673
206	1.092588659
207	1.092003865
208	1.091671157
209	1.09053209
210	1.090290837
211	1.089881848
212	1.088644601
213	1.087915067
214	1.086802445
215	1.085966398
216	1.085154022
217	1.083928597
218	1.083381737
219	1.08227918
220	1.081274303
221	1.080327671
222	1.079322457
223	1.077990042
224	1.07714406
225	1.076027698
226	1.07476769
227	1.073278482
228	1.071777008
229	1.070744779
230	1.070461948
231	1.069622977
232	1.068537544
233	1.067708455
234	1.066510179
235	1.06608667
236	1.065083718
237	1.063562236
238	1.062745718
239	1.061878694
240	1.06059991
241	1.059422823
242	1.058441633
243	1.058085898
244	1.05707615
245	1.055724366
246	1.054325373
247	1.053539565
248	1.052045195
249	1.051020927
250	1.049757309
251	1.048251037
252	1.047556309
253	1.046795886
254	1.046154383
255	1.04538895
256	1.044252166
257	1.043102019
258	1.042479771
259	1.041539486
260	1.04034754
261	1.039122211
262	1.037880636
263	1.036918113
264	1.036529015
265	1.035502523
266	1.034660025
267	1.033699725
268	1.032454326
269	1.031651119
270	1.030539204
271	1.029441681
272	1.028263654
273	1.027231733
274	1.026313627
275	1.025175426
276	1.024028922
277	1.023003488
278	1.022273136
279	1.02120321
280	1.020322862
281	1.019388447
282	1.018458612
283	1.018124236
284	1.017100002
285	1.015960002
286	1.014845121
287	1.013989843
288	1.012988374
289	1.012106205
290	1.011261794
291	1.010143033
292	1.009460938
293	1.008614235
294	1.007137222
295	1.006650011
296	1.00548675
297	1.004564346
298	1.003822014
299	1.002951013
300	1.002825885
301	1.002094774
302	1.001946031
303	1.00147501
304	1.000771288
305	0.9994980124
306	0.9984884656
307	0.997473476
308	0.9963246997
309	0.9951564107
310	0.9943869602
311	0.9937465166
312	0.9931685068
313	0.9921680159
314	0.9918611283
315	0.9908928343
316	0.9902554731
317	0.9894154757
318	0.9886882102
319	0.9877103129
320	0.9868278525
321	0.9860463708
322	0.9848210835
323	0.9839237422
324	0.9836764866
325	0.9825307861
326	0.9819289956
327	0.9810806503
328	0.9800665011
329	0.9791859564
330	0.9782254516
331	0.977808058
332	0.9767253108
333	0.9759788904
334	0.9755219192
335	0.9741629356
336	0.9732720228
337	0.9727045724
338	0.9717412687
339	0.9710645086
340	0.9702141211
341	0.9695380179
342	0.9686266439
343	0.9674972195
344	0.9666771517
345	0.9656976627
346	0.9647785937
347	0.963852033
348	0.9627368921
349	0.9620269429
350	0.960815105
351	0.9598844127
352	0.9592062368
353	0.9582813458
354	0.9572300427
355	0.9561949915
356	0.9553312133
357	0.9551152593
358	0.9544674891
359	0.9533339599
360	0.9530717771
361	0.9521305988
362	0.9512097555
363	0.9498242758
364	0.9495991279
365	0.9484130327
366	0.9476377817
367	0.9468384673
368	0.9459349236
369	0.9447655376
370	0.943893644
371	0.9428476863
372	0.9420895909
373	0.941345559
374	0.9401122176
375	0.939241495
376	0.9385908913
377	0.9376904192
378	0.9375143064
379	0.9363334668
380	0.9355672755
381	0.9354442994
382	0.935285517
383	0.9351917198
384	0.9341775263
385	0.9337750022
386	0.9329095628
387	0.9326576177
388	0.9315600359
389	0.9308067014
390	0.9306584663
391	0.9299888803
392	0.929826613
393	0.9288894156
394	0.9282351215
395	0.9274434624
396	0.9266380846
397	0.9256864874
398	0.924382159
399	0.9237630363
400	0.922500094
401	0.9222280328
402	0.9215354998
403	0.9206315589
404	0.9194199179
405	0.9185924092
406	0.9181306408
407	0.9176856685
408	0.9167119509
409	0.9157568699
410	0.9155001315
411	0.9145369296
412	0.9136236543
413	0.9134880271
414	0.9123934816
415	0.911280663
416	0.9102713593
417	0.9093873229
418	0.9087954766
419	0.9084803038
420	0.9072730655
421	0.9065774342
422	0.9060208121
423	0.9049159388
424	0.9040271866
425	0.9032464959
426	0.9025127967
427	0.902320769
428	0.9016006737
429	0.9005833861
430	0.8996586574
431	0.8986448951
432	0.8978283737
