video_id,nb_textbloc
7602656035161050390,1
7590718903144287510,3
7571821778746592534,2
7569927329154190614,0
7566270741134462230,11
7536170254989315350,2
7520640970199698710,0
7496799936558796054,0
7487960173529582870,1
7478712216724802838,1
7470850262840691990,1
7424512450856357153,5
7416286728513735968,2
7374727208394411297,5
7361057454454508833,4
7343975400122354977,4
7322847358646078752,3
7311689753676533024,5
7307595143559859488,0
7298756408994991393,1
7272755309658098976,3
7226766521719213338,0
7224139299594194203,8
7208566584535764250,0
7205976379370851589,3
7177404002508803334,4
7164792237543394566,3
7162183685423385862,2
7153997940774882565,2
7143619564775968006,1
7138043316087606533,2
7114705253899029765,2
7107270367303044358,2
7101685930276293894,2
7096121724990655749,2
7079814734664436998,4
7071272731286834437,4
7067569943449046278,2
7063121025394855173,0
7023313220278553862,3
7019559155425955077,0
6958797242429934854,5
6940653001791130885,0
6927911225066130693,2
6896446483080482050,3
6893888228848389377,1
6891645296233794817,3
6883561429727726850,4
6876362124260691202,1
6874890977631390978,2
6855731886438763781,5
6852640471013920006,0
6847902541095668997,0
6802558843114114310,0
7603743614157458710,0
7595972634450431254,0
7587402623129636118,1
7587440240327937302,4
7584845578429828375,3
7581822570454879510,0
7579299127637363990,0
7580305629634399510,3
7578925701114481942,5
7577797962017918230,1
7576309328584592643,0
7575167976853228822,0
7574884067729050902,3
7572598154063990038,3
7567386738709073174,3
7566939859156290838,0
7565890573115165974,0
7563265888623840534,0
7556999098637880598,3
7551795663772798211,0
7549089036447649046,5
7547744113433627926,4
7542538735116684566,1
7541326779697564930,2
7539973950877584662,0
7535846854743821590,0
7535846685101149462,0
7535846060476976406,3
7535476048444558614,1
7535123405562006806,0
7533124404062981398,2
7532382235463339286,1
7528433357093358870,0
7510479503592901910,4
7509512878026788118,5
7504668782045039894,0
7495322095065238806,2
7494238893546474774,1
7490222588883422486,0
7488220279244623126,1
7486138878026321174,2
7483898615803612418,0
7480918194438278422,0
7480563839319264534,0
7471286673494527254,3
7470532387223407904,2
7468709057516326177,0
7468323433714126112,0
7466109584952855840,2
7463198577188146464,0
7458328611213298976,4
7451579890048027937,1
7443846446362774817,3
7436439641298865441,3
7423318018853178657,0
7414073681992895776,0
7397062762150513952,1
7395189160081935649,0
7350221322317761825,3
7343530174526377249,3
7336238126651706656,2
7329933240775527713,0
7329526946751089953,0
7316851921288006944,0
7300927450463194400,5
7297177472615861536,2
7296855348714016033,2
7290823677195603233,3
7261565962875358491,0
7260104911830945051,4
