video_id,hook_motion,hook_shake,content_motion,content_shake,max_peak_motion
VIDEO_6739804771013774597,0.0687829852104187,0.0035272804088890553,0.13103212416172028,0.023952441290020943,0.26206424832344055
VIDEO_6750983141873224966,0.4209743142127991,0.08974471688270569,0.33396926522254944,0.043587226420640945,0.48817306756973267
VIDEO_6764678537346616582,0.7323427200317383,0.2134254425764084,,,0.8862504959106445
VIDEO_6768860777525824773,0.09889613091945648,0.005314992740750313,,,0.12440196424722672
VIDEO_6792131260543225094,0.18140093982219696,0.012393707409501076,,,0.2612795829772949
VIDEO_6792133610360065285,0.9787551164627075,0.2588341236114502,1.1377878189086914,2.0718181133270264,1.5060218572616577
VIDEO_6793347939294072069,0.4321361184120178,0.07692093402147293,,,0.5542424321174622
VIDEO_6793765694619143430,2.660508155822754,2.1241114139556885,1.715489387512207,1.445314645767212,3.5373833179473877
VIDEO_6794470373212589317,0.7456859350204468,0.2988892197608948,,,0.9699841737747192
VIDEO_6795606002222796037,0.6507518291473389,0.16372442245483398,,,0.996450662612915
VIDEO_6796363351816555782,0.009043173864483833,0.0001282471785089001,0.1721324771642685,0.03105192258954048,0.3080524802207947
VIDEO_6796364077095472389,0.3453998565673828,0.1345837265253067,,,0.45536935329437256
VIDEO_6797039273053850886,0.6027439832687378,0.22697581350803375,,,1.0117344856262207
VIDEO_6798641094109269253,0.7755990028381348,0.2913913130760193,0.4996102452278137,0.11026588082313538,0.9024858474731445
VIDEO_6798648871401819398,0.10169941186904907,0.05264533311128616,,,0.15104229748249054
VIDEO_6800982671657880837,0.4594627022743225,0.16392076015472412,,,0.7733525037765503
VIDEO_6802558843114114310,0.21887420117855072,0.02146422117948532,,,0.2963053286075592
VIDEO_6814175723704683782,0.31146782636642456,0.07406571507453918,0.30708855390548706,0.07979884743690491,0.5533551573753357
VIDEO_6821547365887905030,0.13939949870109558,0.016627807170152664,,,0.190870463848114
VIDEO_6825975879940820230,0.008030601777136326,9.840218990575522e-05,,,0.01606120355427265
VIDEO_6834056379355991301,0.6353636980056763,0.23297619819641113,0.7110854983329773,0.4477311670780182,1.4124810695648193
VIDEO_6834420537545084166,3.2191996574401855,7.50602912902832,1.8834199905395508,2.0985984802246094,4.491092205047607
VIDEO_6847902541095668997,0.20870891213417053,0.023712294176220894,1.5105236371358235,1.145968735218048,3.452566146850586
